Entity,Code,Date,Total confirmed cases ,,,,,
Taiwan,TWN,30-Mar-20,306,,,,,
Taiwan,TWN,31-Mar-20,306,,,,,
Taiwan,TWN,1-Apr-20,322,,,,,
Taiwan,TWN,2-Apr-20,339,,,,,
Taiwan,TWN,3-Apr-20,339,,,,,
Taiwan,TWN,4-Apr-20,355,,,,,
Taiwan,TWN,5-Apr-20,363,,,,,
Taiwan,TWN,6-Apr-20,363,,,,,
Taiwan,TWN,7-Apr-20,373,,,,,
Taiwan,TWN,8-Apr-20,376,,,,,
Taiwan,TWN,9-Apr-20,379,,,,,
Taiwan,TWN,10-Apr-20,380,,,,,
Taiwan,TWN,11-Apr-20,380,,,,,
Taiwan,TWN,12-Apr-20,385,,,,,
Taiwan,TWN,13-Apr-20,388,,,,,
Taiwan,TWN,14-Apr-20,393,,,,,
Taiwan,TWN,15-Apr-20,395,,,,,
Taiwan,TWN,16-Apr-20,395,,,,,
Taiwan,TWN,17-Apr-20,395,,,,,
Taiwan,TWN,18-Apr-20,395,,,,,
Taiwan,TWN,19-Apr-20,398,,,,,
Taiwan,TWN,20-Apr-20,420,,,,,
Taiwan,TWN,21-Apr-20,422,,,,,
Taiwan,TWN,22-Apr-20,425,,,,,
Taiwan,TWN,23-Apr-20,426,,,,,
Taiwan,TWN,24-Apr-20,427,,,,,
Taiwan,TWN,25-Apr-20,428,,,,,
Taiwan,TWN,26-Apr-20,429,,,,,
Taiwan,TWN,27-Apr-20,429,,,,,
Taiwan,TWN,28-Apr-20,429,,,,,
Taiwan,TWN,29-Apr-20,429,,,,,
Tanzania,TZA,17-Mar-20,1,,,,,
Tanzania,TZA,18-Mar-20,1,,,,,
Tanzania,TZA,19-Mar-20,3,,,,,
Tanzania,TZA,20-Mar-20,3,,,,,
Tanzania,TZA,21-Mar-20,3,,,,,
Tanzania,TZA,22-Mar-20,6,,,,,
Tanzania,TZA,23-Mar-20,12,,,,,
Tanzania,TZA,24-Mar-20,12,,,,,
Tanzania,TZA,25-Mar-20,12,,,,,
